ID,Ten,NgayCapNhat,NgayDenHan,IsDone,ChiTiet,DoQuanTrong
82,Dắt thú cưng đi dạo,25/5/2022,27/5/2022,true,,3
83,Đi dạo,1/4/2022,3/4/2022,true,,3
84,Học bài,10/5/2022,12/5/2022,true,,4
85,Cho thú cưng đi khám,16/4/2022,18/4/2022,true,,3
86,Viết báo cáo,3/5/2022,5/5/2022,true,,2
87,Họp nhóm,18/6/2022,20/6/2022,true,,4
88,Dắt thú cưng đi dạo,18/5/2022,20/5/2022,true,,3
89,Viết báo cáo,7/5/2022,9/5/2022,true,,4
90,Dắt thú cưng đi dạo,6/6/2022,8/6/2022,true,,3
91,Dắt thú cưng đi dạo,11/4/2022,13/4/2022,true,,4
92,Họp nhóm,8/6/2022,10/6/2022,true,,4
93,Cho thú cưng đi khám,17/5/2022,19/5/2022,true,,1
94,Dắt thú cưng đi dạo,25/4/2022,27/4/2022,true,,3
95,Đi dạo,5/5/2022,7/5/2022,true,,3
96,Cho thú cưng đi khám,2/6/2022,4/6/2022,true,,3
97,Viết báo cáo,19/5/2022,21/5/2022,true,,3
98,Dắt thú cưng đi dạo,12/6/2022,14/6/2022,true,,1
99,Học bài,15/5/2022,17/5/2022,true,,2
